time,L_evals,NL_iter,TotalEnergy,dt,nodes,numDOFs
0,0,0,0,0,0,0
1,36,2,319.00616982359,0.045089112421875,10998,81888
1.1407100422656,40,2,318.97482578999,0.14071004226563,11718,87720
2.9990376220697,80,2,318.38875884519,0.2292018317801,29475,225186
5,115,2,317.0631259737,0.041490963513727,29925,228840
5.6611454884613,125,3,316.31255088158,0.33863549408994,30042,229758

